Tech Stack,Exam Portfolio Links
Python,link_to_python_exam_portfolio
C#,link_to_csharp_exam_portfolio
ASP.NET Core,link_to_aspnetcore_exam_portfolio
MERN,link_to_mern_exam_portfolio
Machine Learning,link_to_ml_exam_portfolio
Big Data,link_to_bigdata_exam_portfolio
Data Visualization,link_to_dataviz_exam_portfolio
NumPy,link_to_numpy_exam_portfolio
Pandas,link_to_pandas_exam_portfolio
Scikit-learn,link_to_sklearn_exam_portfolio
TensorFlow,link_to_tensorflow_exam_portfolio
ChromaDB,link_to_chromadb_exam_portfolio
